Signal,SCR,SCL
5.185,0.0,5.350354317939598
5.184,0.0,5.350938566904513
5.1825,0.0,5.351522815869428
5.1825,0.0,5.3521070648343425
5.182,0.0,5.352691313799258
5.1825,0.0,5.353275562764173
5.1825,0.0,5.353859811729088
5.1825,0.0,5.354444060694003
5.182,0.0,5.355028309658918
5.1815,0.0,5.355612558623833
5.1805,0.0,5.3561968075887485
5.1795,0.0,5.356781056553663
5.1795,0.0,5.357365305518578
5.1795,0.0,5.357949554483493
5.1795,0.0,5.358533803448409
5.1795,0.0,5.359118052413324
5.1785,0.0,5.359702301378238
5.178,0.0,5.360286550343154
5.177,0.0,5.360870799308069
5.1765,0.0,5.361455048272984
5.176,0.0,5.3620392972378985
5.176,0.0,5.362623546202814
5.1765,0.0,5.363207795167729
5.1755,0.0,5.363792044132644
5.1755,0.0,5.364376293097559
5.175,0.0,5.364960542062474
5.174,0.0,5.365544791027389
5.173,0.0,5.3661290399923045
5.173,0.0,5.36671328895722
5.1725,0.0,5.367297537922134
5.1725,0.0,5.367881786887049
5.1725,0.0,5.368466035851965
5.172,0.0,5.36905028481688
5.1725,0.0,5.369634533781794
5.1725,0.0,5.37021878274671
5.1725,0.0,5.370803031711625
5.1735,0.0,5.37138728067654
5.175,0.0,5.3719715296414545
5.177,0.0,5.37255577860637
5.1795,0.0,5.373140027571285
5.1815,0.0,5.3737242765362
5.184,0.0,5.374308525501116
5.1865,0.0,5.37489277446603
5.19,0.0,5.375477023430945
5.193,0.0,5.3760612723958605
5.1975,0.0,5.376645521360776
5.2025,0.0,5.37722977032569
5.2075,0.0,5.377814019290605
5.2125,0.0,5.378398268255521
5.217,0.0,5.378982517220436
5.2215,0.0,5.37956676618535
5.2265,0.0,5.380151015150266
5.232,0.0,5.380735264115181
5.2375,0.0,5.381319513080096
5.2435,0.0,5.381903762045011
5.2495,0.0,5.382488011009926
5.2555,0.0,5.383072259974841
5.261,0.0,5.383656508939756
5.2655,0.0,5.384240757904672
5.271,0.0,5.384825006869586
5.2765,0.0,5.385409255834501
5.2815,0.0,5.3859935047994165
5.287,0.0,5.386577753764332
5.2925,0.0,5.387162002729246
5.2985,0.0,5.387746251694161
5.304,0.0,5.388330500659077
5.3085,0.0,5.388914749623992
5.313,0.0,5.389498998588907
5.3175,0.0,5.390083247553822
5.322,0.0,5.390667496518737
5.326,0.0,5.391251745483652
5.3305,0.0,5.391835994448567
5.335,0.0,5.392420243413482
5.3375,0.0,5.393004492378397
5.34,0.0,5.393588741343312
5.3425,0.0,5.394172990308228
5.346,0.0,5.394757239273142
5.35,0.0,5.395341488238057
5.3535,0.0,5.3959257372029725
5.3565,0.0,5.396509986167888
5.3595,0.0,5.397094235132803
5.3615,0.0,5.397678484097717
5.364,0.0,5.398262733062633
5.366,0.0,5.398846982027548
5.3685,0.0,5.399431230992463
5.3715,0.0,5.400015479957378
5.3745,0.0,5.400599728922293
5.3775,0.0,5.401183977887208
5.3795,0.0,5.401768226852123
5.382,0.0,5.402352475817038
5.384,0.0,5.402936724781953
5.386,0.0,5.403520973746868
5.389,0.0,5.404105222711784
5.393,0.0,5.404689471676699
5.3955,0.0,5.405273720641613
5.3985,0.0,5.4058579696065285
5.4,0.0,5.406442218571444
5.402,0.0,5.407026467536359
5.4025,0.0,5.4076107165012735
5.4045,0.0,5.408194965466189
5.4075,0.0,5.408779214431104
5.411,0.0,5.409363463396019
5.4135,0.0,5.409947712360934
5.4155,0.0,5.410531961325849
5.417,0.0,5.411116210290764
5.418,0.0,5.411700459255679
5.419,0.0,5.412284708220595
5.4205,0.0,5.412868957185509
5.423,0.0,5.413453206150424
5.425,0.0,5.41403745511534
5.4275,0.0,5.414621704080255
5.4295,0.0,5.415205953045169
5.4325,0.0,5.4157902020100845
5.4345,0.0,5.416374450975
5.4365,0.0,5.416958699939915
5.4395,0.0,5.4175429489048295
5.4435,0.0,5.418127197869745
5.447,0.0,5.41871144683466
5.4505,0.0,5.419295695799575
5.454,0.0,5.41987994476449
5.457,0.0,5.420464193729405
5.46,0.0,5.42104844269432
5.463,0.0,5.4216326916592354
5.4655,0.0,5.422216940624151
5.469,0.0,5.422801189589065
5.4725,0.0,5.42338543855398
5.4755,0.0,5.423969687518896
5.478,0.0,5.424553936483811
5.4805,0.0,5.425138185448725
5.4825,0.0,5.4257224344136405
5.4855,0.0,5.426306683378556
5.488,0.0,5.426890932343471
5.4905,0.0,5.4274751813083855
5.4925,0.0,5.428059430273301
5.4945,0.0,5.428643679238216
5.497,0.0,5.429227928203131
5.4975,0.0,5.4298121771680465
5.5005,0.0,5.430396426132961
5.503,0.0,5.430980675097876
5.504,0.0,5.4315649240627915
5.5065,0.0,5.432149173027707
5.509,0.0,5.432733421992621
5.5115,0.0,5.433317670957536
5.513,0.0,5.433901919922452
5.515,0.0,5.434486168887367
5.517,0.0,5.435070417852281
5.519,0.0,5.435654666817197
5.52,0.0,5.436238915782112
5.5205,0.0,5.436823164747027
5.521,0.0,5.437407413711942
5.521,0.0,5.437991662676857
5.522,0.0,5.438575911641772
5.5225,0.0,5.439160160606687
5.5215,0.0,5.4397444095716025
5.5205,0.0,5.440328658536517
5.5205,0.0,5.440912907501432
5.5215,0.0,5.4414971564663475
5.521,0.0,5.442081405431263
5.52,0.0,5.442665654396177
5.519,0.0,5.443249903361092
5.5175,0.0,5.443834152326008
5.5165,0.0,5.444418401290923
5.5155,0.0,5.445002650255838
5.514,0.0,5.445586899220753
5.513,0.0,5.446171148185668
5.513,0.0,5.446755397150583
5.5115,0.0,5.447339646115498
5.5105,0.0,5.447923895080413
5.5085,0.0,5.448508144045328
5.5065,0.0,5.449092393010243
5.5055,0.0,5.4496766419751586
5.505,0.0,5.450260890940073
5.505,0.0,5.450845139904988
5.504,0.0,5.4514293888699035
5.5025,0.0,5.452013637834819
5.5015,0.0,5.452597886799734
5.5005,0.0,5.453182135764648
5.5,0.0,5.453766384729564
5.499,0.0,5.454350633694479
5.4985,0.0,5.454934882659394
5.498,0.0,5.455519131624309
5.4975,0.0,5.456103380589224
5.4965,0.0,5.456687629554139
5.4955,0.0,5.457271878519054
5.4935,0.0,5.457856127483969
5.4925,0.0,5.458440376448884
5.491,0.0,5.459024625413799
5.4895,0.0,5.459608874378715
5.4885,0.0,5.46019312334363
5.488,0.0,5.460777372308544
5.487,0.0,5.4613616212734595
5.486,0.0,5.461945870238375
5.4845,0.0,5.46253011920329
5.4835,0.0,5.463114368168204
5.4825,0.0,5.46369861713312
5.4815,0.0,5.464282866098035
5.4815,0.0,5.46486711506295
5.482,0.0,5.465451364027865
5.4815,0.0,5.46603561299278
5.481,0.0,5.466619861957695
5.48,0.0,5.46720411092261
5.4795,0.0,5.467788359887526
5.478,0.0,5.46837260885244
5.4775,0.0,5.468956857817355
5.4775,0.0,5.469541106782271
5.478,0.0,5.470125355747186
5.478,0.0,5.4707096047121
5.477,0.0,5.4712938536770155
5.4765,0.0,5.471878102641931
5.4755,0.0,5.472462351606846
5.475,0.0,5.47304660057176
5.4745,0.0,5.473630849536676
5.4745,0.0,5.474215098501591
5.475,0.0,5.474799347466506
